periodo,fecha,hora,autopista,banda_y_o_ramal,pk,condiciones_meteorologicas,superficie_de_la_via,lesionados,fallecidos,tipo_de_siniestro,moto,liviano,bus,camion,B_Fallecidos,B_Lesionados,moto_o_liviano_involucrado,camion_o_bus_involucrado
201401,1/27/2014,12,AU 25 DE MAYO,ASCENDENTE,5800,BUENO,SECA,1,1,COLISION CON DOS O MAS VEHICULOS,1,2,1,0,1,1,1,1
201401,1/28/2014,17,AU PERTIO MORENO,ASCENDENTE,5300,LLUVIOSO,MOJADA/HUMEDA,1,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,0,1,1,1
201401,1/28/2014,21,AU DELLEPIANE,DESCENDENTE,2500,BUENO,MOJADA/HUMEDA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
201401,1/29/2014,6,AU ILLIA,DESCENDENTE,1000,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,2,0,0,0,0,1,0
201401,1/29/2014,7,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/29/2014,8,AU DELLEPIANE,ASCENDENTE,4700,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,1/29/2014,17,AU PERTIO MORENO,DESCENDENTE,2000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,1/30/2014,22,AU 25 DE MAYO,DESCENDENTE,5500,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,1/31/2014,13,AU 25 DE MAYO,ASCENDENTE,RAMPA EGRESO,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/31/2014,17,AU 25 DE MAYO,DESCENDENTE,7400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,0,1,0
201402,1/2/2014,8,AU 25 DE MAYO,DESCENDENTE,1000,LLUVIOSO,MOJADA/HUMEDA,3,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,0,1,1,1
201402,1/2/2014,10,AU 25 DE MAYO,ASCENDENTE,1700,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/2/2014,6,AU DELLEPIANE,ASCENDENTE,2800,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/2/2014,7,AU 25 DE MAYO,ASCENDENTE,9200,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/2/2014,7,AU DELLEPIANE,ASCENDENTE,1700,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/2/2014,11,AU 25 DE MAYO,ASCENDENTE,2100,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/2/2014,13,AU 25 DE MAYO,DISTRIBUIDOR 9 DE JULIO,RAMAL 2BIS,BUENO,MOJADA/HUMEDA,0,1,COLISION CON OBSTACULO FIJO,1,0,0,0,1,0,1,0
201402,2/2/2014,16,AU DELLEPIANE,DESCENDENTE,700,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,4/2/2014,7,AU FRONDIZI,DESCENDENTE,2700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,4/2/2014,8,AU 25 DE MAYO,ASCENDENTE,3200,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201402,4/2/2014,13,AU 25 DE MAYO,DESCENDENTE,RAMPA EGRESO,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,0,1,0
201402,4/2/2014,17,AU 25 DE MAYO,DESCENDENTE,1800,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201402,4/2/2014,19,AU 25 DE MAYO,DESCENDENTE,5900,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,0,0,0,0,1
201402,4/2/2014,20,AU 25 DE MAYO,DESCENDENTE,0,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201402,4/2/2014,21,AU PERTIO MORENO,DESCENDENTE,5100,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,0,1,0
201402,5/2/2014,2,AU FRONDIZI,DESCENDENTE,1300,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201402,5/2/2014,15,AU FRONDIZI,ASCENDENTE,500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,6/2/2014,0,AU 25 DE MAYO,DESCENDENTE,7700,LLUVIOSO,MOJADA/HUMEDA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201402,6/2/2014,10,AU 25 DE MAYO,DESCENDENTE,4700,LLUVIOSO,MOJADA/HUMEDA,2,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,1,1,0
201402,7/2/2014,1,AU PERTIO MORENO,ASCENDENTE,3300,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,7/2/2014,12,AU DELLEPIANE,DESCENDENTE,3700,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,8/2/2014,2,AU 25 DE MAYO,DESCENDENTE,8200,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,9/2/2014,4,AU PERTIO MORENO,DESCENDENTE,600,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,9/2/2014,5,AU 25 DE MAYO,DESCENDENTE,500,BUENO,MOJADA/HUMEDA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201402,9/2/2014,7,AU ILLIA,ASCENDENTE,1000,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,2,0,0,0,0,1,0
201402,9/2/2014,7,AV LUGONES,DESCENDENTE,6000,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,0,0,1,1
201402,9/2/2014,20,AV CANTILO,ASCENDENTE,8500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,0,1,0
201402,10/2/2014,16,AU PERTIO MORENO,DESCENDENTE,5600,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,10/2/2014,18,AU CAMPORA,DESCENDENTE,3600,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,1,0,0,0,0,1,1,0
201402,11/2/2014,9,AU 25 DE MAYO,ASCENDENTE,2400,LLUVIOSO,MOJADA/HUMEDA,0,0,OBSTACULO NO FIJO,0,1,1,0,0,0,1,1
201402,11/2/2014,14,AU 25 DE MAYO,ASCENDENTE,9000,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,11/2/2014,18,AU 25 DE MAYO,DESCENDENTE,300,BUENO,SECA,0,0,OBSTACULO NO FIJO,1,3,0,0,0,0,1,0
201402,11/2/2014,18,AU 25 DE MAYO,DESCENDENTE,3500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,11/2/2014,19,AU 25 DE MAYO,DESCENDENTE,6600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,12/2/2014,15,AU DELLEPIANE,ASCENDENTE,300,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,1,0,1,1,1
201402,12/2/2014,20,AU FRONDIZI,DESCENDENTE,2700,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201402,2/13/2014,3,AU 25 DE MAYO,DESCENDENTE,2700,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
